ID,Parent ID,Card Type,Interchange Level,Regulated Indicator,Amount,Discount Fees Rate,Discount Fees Amount,Items,Item Fees Rate,Items Fees Amount,Tran Cost,Dial Items Count,Processing Fees Rate Dial,Non Dial Items Count,Processing Fees Rate Non Dial,Processing Fees Amount,Total Due
LK211662,686,ACCEL Advantage POS,Qualified Petroleum,0,"$6,635.41",0.85%,$56.48,619,$0.21,$129.42,$0.00,0,$0.00,619,$0.02,$12.38,$198.28
LK211662,686,ACCEL/XCHG,Qualified Petroleum,0,"$1,412.32",0.80%,$11.32,83,$0.17,$14.43,$0.00,0,$0.00,83,$0.02,$1.66,$27.41
LK211662,686,ACCEL/XCHG,Reg Fraud Prevent,2,$48.48,0.04%,$0.02,2,$0.31,$0.61,$0.00,0,$0.00,2,$0.02,$0.04,$0.67
LK211662,686,ACCEL/XCHG,Regulated,1,$12.56,0.00%,$0.00,3,$0.20,$0.60,$0.00,0,$0.00,3,$0.02,$0.06,$0.66
LK211662,686,American Express,Normal,0,"$4,808.10",0.00%,$0.00,145,$0.00,$0.00,$0.00,0,$0.00,145,$0.02,$2.90,$2.90
LK211662,686,Cannot Route,Qualified Petroleum,0,$0.00,0.00%,$0.00,26,$0.00,$0.00,$0.00,0,$0.00,26,$0.02,$0.52,$0.52
LK211662,686,CU24,Qualified Petroleum,0,"$1,526.66",0.80%,$12.23,92,$0.19,$17.38,$0.00,0,$0.00,92,$0.02,$1.84,$31.45
LK211662,686,Discover,Commrcl Electronic,0,$453.85,2.40%,$10.91,14,$0.10,$1.40,$0.00,0,$0.00,14,$0.02,$0.28,$12.59
LK211662,686,Discover,Core Petroleum,0,$101.46,1.69%,$1.71,9,$0.05,$0.45,$0.00,0,$0.00,9,$0.02,$0.18,$2.34
LK211662,686,Discover,DB BSL Submission,0,$73.48,2.00%,$1.47,2,$0.25,$0.50,$0.00,0,$0.00,2,$0.02,$0.04,$2.01
LK211662,686,Discover,DB MSL Submission,0,$5.24,1.91%,$0.10,1,$0.20,$0.20,$0.00,0,$0.00,1,$0.02,$0.02,$0.32
LK211662,686,Discover,DB Petroleum,0,$498.59,0.88%,$4.38,37,$0.16,$5.92,$0.00,0,$0.00,37,$0.02,$0.74,$11.04
LK211662,686,Discover,PREM Petroleum,0,$927.41,1.84%,$17.02,24,$0.05,$1.20,$0.00,0,$0.00,24,$0.02,$0.48,$18.70
LK211662,686,Discover,PSL PETROLEUM,0,$158.32,1.83%,$2.90,4,$0.05,$0.20,$0.00,0,$0.00,4,$0.02,$0.08,$3.18
LK211662,686,Discover,REW Petroleum,0,"$4,555.01",1.83%,$83.56,155,$0.05,$7.75,$0.00,0,$0.00,155,$0.02,$3.10,$94.41
LK211662,686,EDS,Qualified Petroleum,0,$0.00,0.00%,$0.00,4,$0.00,$0.00,$0.00,0,$0.00,4,$0.02,$0.08,$0.08
LK211662,686,Fuelman,Normal,0,"$5,935.71",0.00%,$0.00,95,$0.00,$0.00,$0.00,0,$0.00,95,$0.02,$1.90,$1.90
LK211662,686,InterLink,Business Db,0,$32.46,1.69%,$0.55,1,$0.14,$0.14,$0.00,0,$0.00,1,$0.02,$0.02,$0.71
LK211662,686,InterLink,Business Db Small Tkt,0,$14.64,1.78%,$0.26,2,$0.13,$0.25,$0.00,0,$0.00,2,$0.02,$0.04,$0.55
LK211662,686,InterLink,PAVD Fuel,2,"$1,113.09",0.80%,$8.89,67,$0.19,$12.37,$0.00,0,$0.00,67,$0.02,$1.34,$22.60
LK211662,686,InterLink,PAVD Regulated,2,$121.38,0.05%,$0.06,4,$0.26,$1.04,$0.00,0,$0.00,4,$0.02,$0.08,$1.18
LK211662,686,InterLink,Petro PP,0,$749.67,1.15%,$8.61,29,$0.19,$5.51,$0.00,0,$0.00,29,$0.02,$0.58,$14.70
LK211662,686,InterLink,Petro PP Small Tkt,0,$614.55,1.23%,$7.55,93,$0.17,$15.86,$0.00,0,$0.00,93,$0.02,$1.86,$25.27
LK211662,686,InterLink,Qualified Petro Small Tkt,0,$66.29,0.91%,$0.60,26,$0.10,$2.51,$0.00,0,$0.00,26,$0.02,$0.52,$3.63
LK211662,686,InterLink,Qualified Petroleum,0,$224.14,0.80%,$1.79,8,$0.19,$1.52,$0.00,0,$0.00,8,$0.02,$0.16,$3.47
LK211662,686,InterLink,Regulated,1,"$2,186.91",0.05%,$1.10,71,$0.26,$18.44,$0.00,0,$0.00,71,$0.02,$1.42,$20.96
LK211662,686,InterLink,Regulated Small Tkt,1,$786.76,0.12%,$0.96,114,$0.22,$25.52,$0.00,0,$0.00,114,$0.02,$2.28,$28.76
LK211662,686,Maestro,Qualified Petroleum,0,"$64,506.38",0.75%,$483.76,"3,826",$0.20,$762.85,$0.00,0,$0.00,"3,826",$0.02,$76.52,"$1,323.13"
LK211662,686,Maestro,Reg Fraud Prevent,2,"$3,003.17",0.05%,$1.51,171,$0.24,$41.45,$0.00,0,$0.00,171,$0.02,$3.42,$46.38
LK211662,686,MasterCard,Bus Data 2 Petro,0,"$4,731.99",2.15%,$101.91,95,$0.10,$9.50,$0.00,0,$0.00,95,$0.02,$1.90,$113.31
LK211662,686,MasterCard,Bus Enh Face to Face Petro,0,$96.06,2.28%,$2.19,3,$0.10,$0.30,$0.00,0,$0.00,3,$0.02,$0.06,$2.55
LK211662,686,MasterCard,Bus Enh Rate II Petro,0,$311.96,2.27%,$7.09,6,$0.10,$0.60,$0.00,0,$0.00,6,$0.02,$0.12,$7.81
LK211662,686,MasterCard,Bus F2F Petro,0,$472.20,2.15%,$10.15,22,$0.10,$2.20,$0.00,0,$0.00,22,$0.02,$0.44,$12.79
LK211662,686,MasterCard,Bus Lvl3 Data II,0,$60.81,2.32%,$1.41,1,$0.10,$0.10,$0.00,0,$0.00,1,$0.02,$0.02,$1.53
LK211662,686,MasterCard,Bus Lvl4 Data II,0,$58.85,2.41%,$1.42,1,$0.10,$0.10,$0.00,0,$0.00,1,$0.02,$0.02,$1.54
LK211662,686,MasterCard,Bus Lvl4 F2F,0,$45.00,2.42%,$1.09,1,$0.10,$0.10,$0.00,0,$0.00,1,$0.02,$0.02,$1.21
LK211662,686,MasterCard,Bus Standard,0,$181.78,3.06%,$5.56,4,$0.10,$0.40,$0.00,0,$0.00,4,$0.02,$0.08,$6.04
LK211662,686,MasterCard,BusWrldDat2Petr,0,$123.01,2.33%,$2.87,2,$0.10,$0.20,$0.00,0,$0.00,2,$0.02,$0.04,$3.11
LK211662,686,MasterCard,Cons Ref Grp 3 DB,0,$219.63,-1.40%,($3.07),12,$0.00,$0.00,$0.00,0,$0.00,12,$0.02,$0.24,($2.83)
LK211662,686,MasterCard,Cons Ref Grp 4 CR,0,$2.55,-1.96%,($0.05),1,$0.00,$0.00,$0.00,0,$0.00,1,$0.02,$0.02,($0.03)
LK211662,686,MasterCard,Corp Ref Grp 4 CR,0,$19.25,-2.18%,($0.42),2,$0.00,$0.00,$0.00,0,$0.00,2,$0.02,$0.04,($0.38)
LK211662,686,MasterCard,Debit Cr Voucher FP,2,$45.74,-0.07%,($0.03),6,($0.22),($1.32),$0.00,0,$0.00,6,$0.02,$0.12,($1.23)
LK211662,686,MasterCard,Enh Petro Base     ,0,"$3,879.00",1.79%,$69.62,122,$0.00,$0.00,$0.00,0,$0.00,122,$0.02,$2.44,$72.06
